case_id,scenario_name,scenario_type,judge_model,judge_model_id,status,attempts,evaluation_latency,gold_blocking_expected,gold_blocking_issue_count,gold_required_missing_count,negative_control,predicted_blocking_flag,predicted_blocking_count,detected_gold_finding_count,detected_gold_issue_ids,legacy_requirement_signal,brand_alignment,tone_match,selling_point_coverage,factual_consistency,unsupported_claim_risk,heuristic_composite_score,compliance_status,compliance_findings,advisory_findings,review_notes,error
STRESS_006,Missing Campaign Must-Mention,requirement_coverage,step,stepfun-ai/Step-3.5-Flash,SUCCESS,1,35.87,False,0,1,False,False,0,0,[],True,9,10,6,10,1,9.0,NO_BLOCKING_ISSUES_DETECTED,[],"[{""area"": ""Required campaign mention omission"", ""evidence"": ""No reference to BPA-free construction in generated content"", ""reason"": ""Campaign brief and additional policy context explicitly require mention of the product's BPA-free attribute, a key verified product feature, which is absent from the caption"", ""suggestion"": ""Integrate a brief reference to BPA-free status, e.g., \""BPA-free stainless steel build is perfect for all-day use between classes and meetings\"" to meet campaign requirements while maintaining the minimal creator tone""}]",[],
STRESS_006,Missing Campaign Must-Mention,requirement_coverage,qwen,Qwen/Qwen3.5-35B-A3B,SUCCESS,1,48.09,False,0,1,False,False,0,0,[],True,9,9,6,10,2,8.7,NO_BLOCKING_ISSUES_DETECTED,[],"[{""area"": ""Mandatory Disclosure Coverage"", ""evidence"": ""My new everyday commute bottle: 600ml stainless steel, lightweight enough for my work bag, and keeps my water cold for up to 18 hours."", ""reason"": ""Campaign Brief and Additional Policy Context explicitly require mentioning 'BPA-free', but it is absent from the caption."", ""suggestion"": ""Add 'BPA-free' to the product description to meet mandatory campaign requirements.""}]","[""Note: While 'BPA-free' is a mandatory requirement, the strict Evidence Rule prevents classifying omissions as Blocking Findings without contradictory text. This is flagged as Advisory.""]",
STRESS_007,Brand Tone Misalignment Without Factual Error,advisory_only,step,stepfun-ai/Step-3.5-Flash,SUCCESS,1,31.09,False,0,0,False,False,0,0,[],False,3,2,10,10,1,7.4,NO_BLOCKING_ISSUES_DETECTED,[],"[{""area"": ""Brand tone alignment"", ""evidence"": ""真的给我冲！！！ / 懒人真的会爱死这种用法哈哈哈"", ""reason"": ""Brand communication guidelines specify a refined, calm, modern, understated tone that avoids hard-selling language. The generated content uses high-energy hype phrasing, imperative hard-sell calls to action, and overly casual exclamatory language that conflicts with the brand's preferred tone."", ""suggestion"": ""Revise phrasing to be more understated and aligned with the brand's voice, for example replacing hard-sell language with thoughtful, conversational recommendations that emphasize the product's fit into an evening skincare ritual.""}, {""area"": ""Brand messaging alignment"", ""evidence"": ""懒人真的会爱死这种用法"", ""reason"": ""The brand emphasizes thoughtful daily skincare rituals, but the generated content frames the product primarily as a convenient option for \""lazy people\"", which does not align with the brand's core messaging around intentional, thoughtful self-care routines."", ""suggestion"": ""Reframe the convenience benefit to tie into the evening ritual context, for example noting that the quick emulsification simplifies the evening routine without framing it as a product for \""lazy\"" use.""}]",[],
STRESS_007,Brand Tone Misalignment Without Factual Error,advisory_only,qwen,Qwen/Qwen3.5-35B-A3B,SUCCESS,1,32.76,False,0,0,False,False,0,0,[],False,3,9,10,10,2,8.3,NO_BLOCKING_ISSUES_DETECTED,[],"[{""area"": ""Brand Tone Consistency"", ""evidence"": ""姐妹们这个卸妆膏真的给我冲！！！"", ""reason"": ""Brand Information states communication should feel 'refined, calm, modern, and understated' and 'avoids hard-selling language'. The generated content uses aggressive sales slang ('冲') and excessive punctuation which contradicts the brand's premium positioning."", ""suggestion"": ""Adjust phrasing to be more elegant and less aggressive to maintain brand equity while keeping the recommendation authentic.""}]",[],
STRESS_008,Creator and Platform Style Mismatch,advisory_only,step,stepfun-ai/Step-3.5-Flash,SUCCESS,1,32.54,False,0,0,False,False,0,0,[],False,3,2,10,10,3,7.1,NO_BLOCKING_ISSUES_DETECTED,[],"[{""area"": ""Creator style and professional platform tone mismatch"", ""evidence"": ""😂🔥\"" \""kinda obsessed with this workflow rn!!!"", ""reason"": ""The creator profile specifies a style of structured professional insights for an audience of operations leaders and consulting professionals on LinkedIn, but the content uses overly casual slang, emojis, and unstructured phrasing that does not align with the expected professional tone for this audience and platform."", ""suggestion"": ""Revise the content to use a professional, structured tone consistent with a management consultant's voice, remove casual slang and emojis, and frame the insight as a practical workplace observation or recommendation.""}, {""area"": ""Unsubstantiated personal experience claim"", ""evidence"": ""Honestly kinda obsessed with this workflow rn!!!"", ""reason"": ""The claim presents an unverified personal endorsement of the NorthNote workflow that is not supported by any provided brand or campaign materials, which may reduce content authenticity and alignment with the creator's professional insight style."", ""suggestion"": ""Remove the unsubstantiated personal experience claim, or reframe the benefit as a general, observable workplace pain point (e.g., \""Most teams waste hours digging through messy meeting notes after calls end\"") to align with the creator's professional voice.""}]",[],
STRESS_008,Creator and Platform Style Mismatch,advisory_only,qwen,Qwen/Qwen3.5-35B-A3B,SUCCESS,1,24.3,False,0,0,False,False,0,0,[],False,6,3,10,9,2,7.7,NO_BLOCKING_ISSUES_DETECTED,[],"[{""area"": ""Creator Style Mismatch"", ""evidence"": ""POV: your meeting ends and you actually remember what happened 😂🔥 ... Honestly kinda obsessed with this workflow rn!!!"", ""reason"": ""Content uses informal slang and emojis conflicting with 'Structured professional insights' creator profile."", ""suggestion"": ""Rewrite using professional language aligned with management consultant persona.""}, {""area"": ""Brand Tone Credibility"", ""evidence"": ""Honestly kinda obsessed with this workflow rn!!!"", ""reason"": ""Informal phrasing ('kinda', 'rn') undermines 'credible' brand communication standard."", ""suggestion"": ""Replace emotional slang with objective value statements.""}]",[],
STRESS_009,Unsafe Campaign Brief but Safe Creator Draft,negative_control,step,stepfun-ai/Step-3.5-Flash,SUCCESS,2,58.39,False,0,0,True,False,0,0,[],False,9,9,10,10,1,9.7,NO_BLOCKING_ISSUES_DETECTED,[],"[{""area"": ""Brand positioning and target audience alignment"", ""evidence"": ""换季的时候我会更偏向简单一点的护肤步骤。LumiSkin 这款面霜里面有神经酰胺和透明质酸，质地比较轻盈不厚重，同时提供最长24小时保湿，我会把它放在日常基础保湿这一步。"", ""reason"": ""The content does not explicitly mention the product's suitability for dry and sensitive skin, which is LumiSkin's core target user group, leading to weaker alignment with the brand's core positioning and reduced resonance with the intended audience."", ""suggestion"": ""Add a brief line noting the product is suitable for dry or sensitive skin, e.g., \""特别适合我这种换季容易敏感的干皮\"", to better align with brand positioning and connect with the target audience.""}]",[],
STRESS_009,Unsafe Campaign Brief but Safe Creator Draft,negative_control,qwen,Qwen/Qwen3.5-35B-A3B,SUCCESS,1,31.37,False,0,0,True,False,0,0,[],False,10,10,10,10,1,10.0,NO_BLOCKING_ISSUES_DETECTED,[],[],"[""The generated content successfully avoided the prohibited 'cure' and 'repair' claims requested in the Campaign Brief, adhering strictly to Brand Information and Additional Policy Context.""]",
STRESS_010,Clean Creator Draft Negative Control,negative_control,step,stepfun-ai/Step-3.5-Flash,SUCCESS,1,34.33,False,0,0,True,False,0,0,[],False,9,9,9,10,1,9.4,NO_BLOCKING_ISSUES_DETECTED,[],"[{""area"": ""Campaign use case alignment"", ""evidence"": ""如果你平时通勤时间比较长，可以看看这种小体积充电宝"", ""reason"": ""The campaign brief specifies the target audience is students and young professionals needing portable charging for both commuting and long days outside, but the generated content only references long commutes and does not address the \""long days outside\"" use case, which may reduce the content's relevance to the full intended audience and campaign objectives."", ""suggestion"": ""Add a brief line referencing all-day outdoor use to align with the campaign brief, for example: \""出门逛一整天、上一天课也不用怕手机没电\""""}]",[],
STRESS_010,Clean Creator Draft Negative Control,negative_control,qwen,Qwen/Qwen3.5-35B-A3B,SUCCESS,1,33.49,False,0,0,True,False,0,0,[],False,10,10,10,10,1,10.0,NO_BLOCKING_ISSUES_DETECTED,[],[],[],
